toxic_comment,neutral_comment1
"и,чё,блядь где этот херой был до этого со своими доказательствами?","Ну и где этот герой был,со своими доказательствами?"
"О, а есть деанон этого петуха?","О, а есть деанон"
гондон путинский он а не артист,"Человек Путина он, а не артист"
как урод такую херню пишет???,кто такую ерунду пишет
в гсвг за такие сапоги пиздюлей получил бы от сослуживцев,В ГСВГ за такие сапоги наказали бы сослуживцы
Спасибо! Потому что предвзятость модераторов начинает напрягать - модерируют как бык поссал.,Спасибо! Потому что предвзятость модераторов начинает раздражать-модерируют спустя рукава.
"слышишь тыпиздед! что то вы помощники россии не едите жить в деревню, а прёте в города!","Что же вы помощники России не едите жить в деревню, а все в городе едите?"
"ну и выродки,это твой ребёнок,зачем ты сучка рожала.","ну и люди,это твой ребёнок,зачем ты рожала."
позорник кадони поддержал зажравшегося меньщикова... без команды боится ребят поддержать и поставить придурка на место...,Кадони поддержал меньшикова. Без команды боится ребят поддержать и поставить его на место.
Почему у росгвардейца гибддшная палочка?,Почему у росгварлейца полицейский жезл?
мы всегда лучше вас жили и живём . черти вы ебанные . иди жопу мой ванючка,мы всегда лучше вас жили и живём
Не пытайся меня понять. Не напрягай свои зачатки интеллекта.,"Не пытайся меня понять, все равно не поймете"
"зато его урода лправдывают, а людей невиных гнобят.купленые и судьи и адвокаты.твари.","Зато его оправдывают ,а людей невинных обижают ,купленные судьи и адвокаты"
одного не пойму это насколько надо быть быдлом чтобы у стариков отбирать последнее и отправлять на грабленное домой.твари.,"Одного не пойму это насколько надо быть бесчеловечными,чтобы у стариков отбирать последнее и отправлять награбленное домой ,
.плохие люди"
биба и боба - два долбоёба! один снимает - другой погибает!,Два друга!один снимает другой погибает
"какая гадость... уничтожать на корню, эту заразу...","Какая гадость... уничтожать на корню, эту болезнь"
Сидела задумалась как заебала её эта никчёмная жизнь.,Сидела задумалась как надоела ей её эта жизнь.
"получается учитель тупой, исправленного отчества не существует! владиморович","Получается учитель не умный,исправленного отчества не существует!Владимирович"
"кто голосует за афганскую борзую ,вы ебанулись чтоль,пройдите в себе,знатоки породы,бляяяя","кто голосует за афганскую борзую ,пройдите в себе,знатоки породы"
", Если модеры сочтут удалить, да в чем проблема то?","Если модераторы решат удалить, да в чем проблема то?"
"хуй знает кто кум, но девушка красивая👍","Не знаем кто кум,но девушка красивая"
Только вот вся семья его живет в рашке и всех их перевезти не варик,Только вот вся семья его живёт в России и перевезти их всех не вариант.
не нравится сука???а что же ты народы стравливаешь мразь ???....,Не нравится? Что же ты народы ссоришь
да по хуй сука пол страны синька чемо.и не хуя молчат.одна кокая мразота известная пережрала водки так пиздец катострофа,"То что пол страны пьют-всем все равно, молчат. А как кто из знаменитостей напьётся-так катастрофу из этого делают."
этих сволочей надо расстрелять за жестокое обращение с животным!,Этих людей нужно наказывать за жестокое обращение с животными!
это как так же воспитывают что девочки уже трахаються во всю?) сильно слов нет,Это как так же воспитывают что девочки уже спят во всю? Сильно слов нет
ты чё пидор усатый против нас имеешь?,ты что против нас имеешь?
"хороших людей забирает, а хуйню оставляет, взяточников,","хороших людей забирает,а взяточников оставляет"
